discogs_artist_id,artist_name,priority,musicbrainz_artist_id
29262,George Clinton,core,84683370-5eae-418b-acd8-883ac028a8a0
3858,Parliament,core,d1947987-9614-49ae-bd36-8000e6b6f7d0
31627,Funkadelic,core,cf042013-3edd-46c4-9b0e-a62faac98d0b
24072,Bootsy Collins,core,b0ca0d85-24a8-4a00-860d-357ff688b69c
39206,Bootsy's Rubber Band,core,976335f6-ad67-44c2-9403-339aa1b232e7
117484,Brides of Funkenstein,core,e48cbe61-1bf5-4af4-aca7-70f9f0f74f1c
32583,Parlet,core,b30e29a4-be9c-4eaa-a91f-fa075b8b46a0
55917,Michael Hampton,core,
230473,Eddie Hazel,core,98f3e150-95c3-4fa3-8f76-0f6cba4431aa
55482,Bernie Worrell,core,e68abd50-e5ec-4b5c-87dd-0fd0437cafd1
76882,Ron Ford,core,
156375,Garry Shider,core,
23295,Clip Payne,core,
160478,Lige Curry,core,
83906,Ruth Copeland,core,4adfe296-224d-4cf9-af00-aaa4ae897ee5
55173,David Spradley,associated,
37718,Amp Fiddler,associated,852cc178-8678-4e98-a34b-6a319dc00c8c
76870,Andre Foxxe,associated,
159528,Steve Boyd,associated,
119347,Belita Woods,associated,
215306,Billy Bass Nelson,associated,
191326,Pat Lewis,associated,
332631,Patrick Drummond,associated,
162917,Robert P-Nut Johnson,associated,
130038,Fred Wesley,associated,5f7342e9-e1b2-4a8b-a622-c973838789cf
36821,Maceo Parker,associated,7ec0b91d-c6ad-417e-934c-decfdc45bada
90330,Junie Morrison,associated,39d895fa-c8e1-4dfe-ae14-9a1a302e64aa
24073,Mutiny,associated,
39600,Flea,peripheral,
121386,Fishbone,peripheral,
130861,Cliff Martinez,peripheral,
